FamilyName1,FamilyName2,CommonName,AlsoKnownAs,ScientificName,MinSize,MaxSize,AdditionalSizeInfo,PossessionLimit,AdditionalPossessionInfo,SpeciesLimit,SpeciesName,GroupLimit,GroupName,ClosedSeasonDate,AdditionalClosedSeasonInfo,MisIdentified,,Description,AverageGrowth,MaximumGrowth,Distribution,AdditionalInformation,Image1,Caption1,Image2,Caption2,Image3,Caption3
"Sharks, rays and sawfish",N/A,Zebra shark,"Leopard shark
",Stegostoma fasciatum,N/A,150,N/A,N/A,N/A,1,combined limit for all shark and ray species,N/A,N/A,N/A,N/A,N/A,,"very distinctive demersal shark
adults yellow to dark brown with dark brown spots
juveniles dark with white bars and spots above and pale below
albino zebra shark encountered very rarely","20-235
",N/A,"inshore/offshore
",N/A,http://app.fisheries.qld.gov.au/images/zebra-shark.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Bigeye seaperch,N/A,Lutjanus lutjanus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,Brownstripe seaperch,,"dominant yellow band from the eye to tail
oblique stripes above the lateral line and horizontal stripes below the main band
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/bigeye-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Black and white snapper,Black and white seaperch,Macolor niger,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"grey black with a dark eye (not yellow)
pattern of interlocking elongated dark spots over a light face
juveniles have short pelvic fins
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/black-and-white-snapper.jpg,N/A,http://app.fisheries.qld.gov.au/images/black-and-white-snapper-juvenile.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Black-banded snapper,N/A,Lutjanus semicinctus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"seven vertical bars over the top of the body from the gill cover to the soft dorsal fin
tail base carries a large black blotch",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/black-banded-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Black-spot snapper,N/A,Lutjanus fulviflamma,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"yellow fins and yellow patch on the base of the tail and rear back
black spot mostly below the lateral line
five or more thin yellow horizontal lines from gill cover to tail
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/black-spot-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Bluestripe seaperch,N/A,Lutjanus kasmira ,25,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Five-lined seaperch,,"four distinctive blue bands run along the length of the body
upper body is yellow with a pale belly
bright yellow fins

",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/bluestripe-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Brownstripe seaperch,Brown hassar,Lutjanus vitta,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"khaki band runs from snout to tail
oblique thin stripes are above the lateral line and turn horizontal below the line
large yellow saddle blotch is below the soft dorsal fin and on the tail?s base
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/brownstripe-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Chinamanfish,N/A,Symphorus nematophorus,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"adult fish are mottled pink and red (forming indistinct vertical bars)
small adults and juveniles have horizontal blue stripes on the body and elongated spines on the soft dorsal fin (growing to long filaments)
deep elongated pit exists between the eye and nostril",N/A,"
",N/A,N/A,http://app.fisheries.qld.gov.au/images/chinamanfish.jpg,N/A,http://app.fisheries.qld.gov.au/images/chinamanfish-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/chinamanfish-juvenile.jpg,N/A
Snappers and sea perches,N/A,Crimson snapper,Small-mouth nannygai,Lutjanus erythropterus,40,N/A,N/A,N/A,N/A,9,combined limit for crimson snapper and saddletail snapper,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,"Saddletail snapper
Indonesian snapper",,"Indonesian snapper have a couple of canine teeth on the upper jaw, and a white tinge on the caudal fin rays (size limit is a minimum of 25cm, and possession limit of 5)
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/crimson-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Dark-tailed seaperch,N/A,Lutjanus lemniscatus,25,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"combination of olive/grey/brown colouration
maroon coloured upper back
red margin on the dorsal fin and the tail fin features a white margin
irregular thin horizontal yellow brown stripes along body
orange spots are present on the face
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/dark-tailed-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Dusky snapper,N/A,Paracaesio sordida,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blue tinge layered over a purple brown body
fins flushed with pink (occasionally yellow)
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/dusky-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Five-lined seaperch,N/A,Lutjanus quinquelineatus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"five blue lines run along the body
bright yellow all over with a darker red shaded face
black blotch may be present on one or both sides of the upper flank just below the start of the soft dorsal fin
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/five-lined-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Flame snapper,N/A,Etelis coruscans,38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"slender and elongated body
small head and large eyes
caudal fin is deeply forked
back and upper sides are deep pink/red
lower sides and belly are pink, and the fins are pink/red
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/flame-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Goldband snapper,N/A,"Pristipomoides multidens

Pristipomoides typus",38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"forked caudal fin
yellow/rosy colouration with approximately six broken gold stripes on the sides
side of the snout (below the eyes) has two/three golden strips bordered by some blue
top of the head has yellow bands
dorsal fin is covered with either yellow stripes or rows of spots
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/goldband-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Golden-eye jobfish,N/A,Pristipomoides flavipinnis,38,N/A,N/A,N/A,N/A,5,combined limit for all jobfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"caudal fin is forked
back and upper sides are pale lavender or pink
lower sides and belly are silver
dark spots are present on top of the head
dorsal fin is yellow (when the species is fresh)
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/golden-eye-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Golden snapper,"Fingermark
Large-scale sea perch
Red bream
",Lutjanus johnii,35,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Moses perch
Mangrove jack
",,"body has a bronze to silver sheen, shading to silver white on the belly and underside of head
back has a round black spot/saddle that is larger than the eye (usually above the lateral line but below the anterior soft dorsal fin rays)
scales have a reddish brown spot often in the centre of each scale, giving an overall appearance of horizontal lines on the body
",50,70,"Townsville and further north
coral reef areas
brackish mangrove estuaries (juveniles)

",N/A,http://app.fisheries.qld.gov.au/images/golden-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Goldflag jobfish,N/A,Pristipomoides auricilla,38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"dominant yellow patch covers the top half of the tail fin
yellow patch is present over the eyes
herringbone (v shaped) pattern of pale yellow stripes along the body
last rays of the dorsal and anal fins are elongated to form short filaments
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/goldflag-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Green jobfish,N/A,Aprion virescens,38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"green blue to grey along the upper body with a pale belly
may have dark spots along the base of the dorsal fin
last ray of the dorsal and anal fins is elongated to form a short filament
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/green-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Hussar,Pink hussar,Lutjanus adetii,25,N/A,N/A,10,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"rosy pink upper body and pale belly
yellow band from gill cover to tail fin
yellow patch around the eyes is smudged towards the snout
dorsal, pelvic and anal fins are edged with white and have pink bands
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/pink-hussar.jpg,N/A,http://app.fisheries.qld.gov.au/images/pink-hussar-2.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Lavender snapper,Jobfish,Pristipomoides sieboldii,38,N/A,N/A,N/A,N/A,8,combined limit for rosy and lavender snapper,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"lower jaw slightly protrudes
caudal fin is forked
silver with a lavender hue and dark spots on the top of the head (more conspicuous in young fish)
dorsal fin's margin is orange
caudal fin is purple with a pale inner margin on the fork (similar to the Crimson jobfish)
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/lavendar-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Maori seaperch,N/A,Lutjanus rivulatus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"thin wavy blue pattern over the face and gill cover
scales on the body have a single dot (the body appears speckled)
fins are a green yellow colouration
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/maori-seaperch.jpg,N/A,http://app.fisheries.qld.gov.au/images/maori-seaperch-juvenile.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Mangrove jack (freshwater and tidal),"Jack
Dogtooth bream
Red bream
",Lutjanus argentimaculatus,35,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golden snapper,,"back and sides are greenish brown to reddish
long snout
belly is slightly red to bronze with white edges on scales
sides of juveniles have a series of about eight whitish bars
one or two blue lines on the cheeks of juveniles
long canine teeth
",40,120,"all Queensland waters
deeper reef areas (to depths in excess of 100 m)
mangrove estuaries and the lower reaches of freshwater streams (juveniles and young adults)

",N/A,http://app.fisheries.qld.gov.au/images/mangrove-jack.jpg,N/A,http://app.fisheries.qld.gov.au/images/mangrove-jack-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/mangrove-jack-juvenile.jpg,N/A
Snappers and sea perches,N/A,Midnight seaperch,N/A,Macolor macularis,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,Black and white seaperch,," fine wavy lines cover a yellow face and gill cover
belly is flushed with yellow
pale patches are on each scale over a grey blue body
juveniles have very long pelvic fins
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/midnight-seaperch.jpg,N/A,http://app.fisheries.qld.gov.au/images/midnight-seaperch-juvenile.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Moses perch,N/A,Lutjanus russelli,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"brown grey upper body covered with a pink flush
yellow pectoral, pelvic and anal fins
spot below the soft dorsal fin is mostly above the lateral line
thin yellow horizontal lines may be present on the body
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/moses-perch.jpg,N/A,http://app.fisheries.qld.gov.au/images/moses-perch-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/moses-perch-3.jpg,N/A
Snappers and sea perches,N/A,Oblique-banded snapper,N/A,Pristipomoides zonatus,38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,N/A,N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/oblique-banded-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Onespot seaperch,N/A,Lutjanus monostigma,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"silver white to yellow brown with yellow fins
black spot is below the start of the soft dorsal fin and lies over the lateral line
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/onespot-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Ornate jobfish,N/A,Pristipomoides argyrogrammicus,38,N/A,N/A,N/A,N/A,5,combined limit for all jobfish species,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"caudal fin is forked
upper part of the head is a shade of red
nape and area above the lateral line are predominantly yellow
sides and belly are silver (sometimes pink)
body has many bright blue spots
dorsal and caudal fins are a shade of yellow
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/ornate-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Paddletail,N/A,Lutjanus gibbus,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"red body with yellow on the gill cover and at the base of the pectoral fin
deep notch in the front edge of the preopercular margin
soft dorsal, anal and tail fork has a white margin
older fish have a distinct paddle shaped tail fin
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/paddletail.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Pearl perch,Pearly,Glaucosoma scapulare,35,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None,,"silvery grey body
back of head has lavender reflections
supraclavicle (shoulder bone) is an iridescent blue black, becoming pearl white when the thin membrane is removed (developed into a prominent bony shield)
scales on the back and upper sides have small, indistinct golden brown to dark fawn spot at the base
dorsal fin surface of last ray usually has dark blotch at base
pectoral fins are transparent with a small brown or black spot on inner base (axillary spot)
dorsal and caudal fin have pale membranes with white rays
anal fin is transparent with silvery or pale fawn rays
pelvic fins are transparent with white rays
",35,70,"along the Queensland coast to a depth of 90 m on the continental shelf
generally close to submerged reefs or rough bottom
",N/A,http://app.fisheries.qld.gov.au/images/pearl-perch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Red bass,N/A,Lutjanus gibbus,N/A,N/A,No take,N/A,No take,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"red body with yellow on the gill cover and at the base of the pectoral fin
deep notch in the front edge of the preopercular margin
soft dorsal, anal and tail fork has a white margin
older fish have a distinct paddle shaped tail fin
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/red-bass.jpg,N/A,http://app.fisheries.qld.gov.au/images/red-bass-2.jpg,N/A,http://app.fisheries.qld.gov.au/images/red-bass-3.jpg,N/A
Snappers and sea perches,N/A,Red emperor,N/A,Lutjanus sebae,55,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"juveniles and young adults have broad dark red bands which converge at a point beyond the top of the spiny dorsal fin
bars fade with age and fish become a pink red all over
dark edges with a fine white margin may still be visible on the dorsal, anal and top and bottom of tail fins
each scale features a white dot
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/red-emperor.jpg,N/A,http://app.fisheries.qld.gov.au/images/red-emperor-2.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Rosy snapper,Rosy jobfish,"Pristipomoides filamentosus
",38,N/A,N/A,N/A,N/A,8,combined limit for rosy and lavender snapper,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pectoral fins are long and the caudal fin is forked
back and sides are variable, ranging from brown to lavender or a red purple
narrow yellow lines and blue spots surround the snout
dorsal and caudal fins are light blue or lavender with red orange margins
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/rosy-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Ruby snapper,N/A,Etelis carbunculus,38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"the caudal fin is forked
pink red, fading to white on the lower sides of the belly
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/ruby-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Saddle-back snapper,N/A,Paracaesio kusakarii,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"series of four dark saddle blotches to the upper body
indistinct blotches cover the face and the tail base
fins are flushed with yellow
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/saddle-back-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Saddletail snapper,Large-mouth nannygai,"Lutjanus malabaricus
",40,N/A,N/A,N/A,N/A,9,"combined limit for crimson snapper (small-mouth nannygai) and saddletail snapper (large-mouth nannygai)
",20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"crimson all over
dark saddle blotch becomes less distinct with age
different from crimson snapper (small mouth nannygai) in having a bigger mouth",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/saddletail-snapper.jpg,N/A,http://app.fisheries.qld.gov.au/images/saddletail-snapper-juvenile.jpg,N/A,N/A,N/A
Snappers and sea perches,N/A,Sailfin snapper,N/A,"Symphorichthys spilurus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blue and yellow horizontal stripes from head to tail   wavy on face
yellow orange on belly and leading edges of pectoral, pelvic and anal fins, and bottom of tail fin
long filaments on soft dorsal fin
steep forehead, orange band over eye and body in line with edge of gill cover
black saddle spot on tail base",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/sailfin-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Scalemouth jobfish,N/A,"Parapristipomoides squamimaxillaris
",38,N/A,N/A,N/A,N/A,5,"combined limit for all jobfish species
",20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"upper body is pink
white underbelly
top of tail fin is yellow",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/scalemouth-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Small-toothed jobfish,N/A,"Aphareus furca
",38,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"tips of tail fin may have long filaments and last ray of dorsal and anal fin extend to form short filaments
bronze to blue grey body with yellowish fins
breeding fish may have yellow nape",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/small-toothed-jobfish.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Spanish flag,Stripey,"Lutjanus carponatus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"a series of yellow horizontal stripes run the length of blueish body
bright yellow fins with a conspicuous black spot at the base of the pectoral fin",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/spanish-flag.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Yellow-margined seaperch,N/A,"Lutjanus fulvus
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale yellow to brown body
brownish to yellow scale margins that may form thin horizontal stripes along the flanks
dorsal and tail fins are edged in white
pectoral, anal and pelvic fins are yellow",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-margined-seaperch.jpg,N/A,N/A,N/A,N/A,N/A
Snappers and sea perches,N/A,Yellowtail blue snapper,N/A,"Paracaesio xanthura
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blueish body with a pale body
a broad yellow band covers the upper body",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellowtail-blue-snapper.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Bluespine unicornfish,N/A,"Naso unicornis
",25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"horn (rostrum) on the head is in front of the eyes
light grey body flushed with yellow
blue margin on the dorsal and anal fins
two spines on each side of the tail base are located in the centre of blue spots
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/bluespine-unicornfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Brown surgeonfish,N/A,Acanthurus nigrofuscus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"varied golden to pale spots over the face and chin (spreading to the pelvic fins)
distinct black spots at the base of the pectoral and anal fins near the base of the tail (when freshly caught)
single spine on each side of the tail
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/brown-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Convict surgeonfish,N/A,Acanthurus triostegus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"pale grey green body with six vertical stripes, including one through each eye and a broken one on the tail base
single spine on each side of the tail base
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/convict-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Eyestripe surgeonfish,N/A,Acanthurus dussumieri,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"bright yellow mask over the eyes
maze like pattern of thin, wavy yellow lines on the face and gill cover
tail base spine is covered by a pale sheath in a black patch
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/eyestripe-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Lined surgeonfish,N/A,Acanthurus lineatus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"vivid black edged white stripes on a yellow upper body that abruptly stop three quarters of the way down each side
belly is plain white
single venomous spine on each side of the tail base
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/lined-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Sixplate sawtail,N/A,Prionurus microlepidotus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"five to seven distinctive dark blotches on the rear of the body, each carrying a hard spiny plate",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/sixplate-sawtail.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Spotted unicornfish,N/A,Naso brevirostris,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"blue grey to white tail fin
long horn on the forehead in front of the eyes
may contain a light patch around the shoulder (behind the gill cover)
blue lips
vertical lines on the body
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/spotted-unicornfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Striated surgeonfish,N/A,Ctenochaetus striatus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"fine pale lines run horizontally along the body from the gill cover to the tail base
top half of the pectoral fins are yellow
orange dots around the eyes
single spine on each side of the tail base
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/striated-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Yellow-spotted sawtail,N/A,Prionurus maculatus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"small yellow dots cover a blue shaded body
may feature streaky, vertical yellow bands along the centre of the body (from the pectoral fins to the tail)
three hard spiny plates on each side of the tail base centred in black spots
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellow-spotted-sawtail.jpg,N/A,N/A,N/A,N/A,N/A
Surgeonfishes,N/A,Yellowfin surgeonfish,N/A,Acanthurus xanthopterus,25,N/A,N/A,5,N/A,N/A,N/A,20,combined limit for all coral reef fin fish,"21 October to 25 October

19 November to 23 November",coral reef fin fish closure,N/A,,"yellow smudge over the eyes and on two thirds of the pectoral fins
bright blue stripe along the base of the dorsal fin
yellow and blue bands on the dorsal and anal fins
single spine on each side of the tail base
",N/A,N/A,N/A,N/A,http://app.fisheries.qld.gov.au/images/yellowfin-surgeonfish.jpg,N/A,N/A,N/A,N/A,N/A
Threadfin,N/A,Blue threadfin,"Blue salmon
Cooktown threadfin
",Eleutheronema tetradactylum,40,N/A,N/A,N/A,"East coast: 10

Gulf of Carpentaria: 20",N/A,N/A,N/A,N/A,N/A,N/A,King threadfin,,"back and head are silvery green or a silver blue and silvery white or a yellow white in older fish
fins are grey and may be tinged yellow or orange
four pectoral filaments are white or cream coloured
",59,160,"Sandy Cape and further north
coastlines and estuary

",N/A,http://app.fisheries.qld.gov.au/images/blue-threadfin.jpg,N/A,http://app.fisheries.qld.gov.au/images/blue-threadfin-2.jpg,N/A,N/A,N/A
